Date,Unique viewers,Site visits,ICB
2024-11-06 00:00:00,5,30,BOB
2024-11-07 00:00:00,9,106,BOB
2024-11-08 00:00:00,4,12,BOB
2024-11-09 00:00:00,0,0,BOB
2024-11-10 00:00:00,0,0,BOB
2024-11-11 00:00:00,0,0,BOB
2024-11-12 00:00:00,7,47,BOB
2024-11-13 00:00:00,7,29,BOB
2024-11-14 00:00:00,2,9,BOB
2024-11-15 00:00:00,2,21,BOB
2024-11-16 00:00:00,0,0,BOB
2024-11-17 00:00:00,0,0,BOB
2024-11-18 00:00:00,5,35,BOB
2024-11-19 00:00:00,10,72,BOB
2024-11-20 00:00:00,4,12,BOB
2024-11-21 00:00:00,5,18,BOB
2024-11-22 00:00:00,11,54,BOB
2024-11-23 00:00:00,0,0,BOB
2024-11-24 00:00:00,0,0,BOB
2024-11-25 00:00:00,3,11,BOB
2024-11-26 00:00:00,4,17,BOB
2024-11-27 00:00:00,6,25,BOB
2024-11-28 00:00:00,1,6,BOB
2024-11-29 00:00:00,2,4,BOB
2024-11-30 00:00:00,0,0,BOB
2024-12-01 00:00:00,0,0,BOB
2024-12-02 00:00:00,5,15,BOB
2024-12-03 00:00:00,3,13,BOB
2024-12-04 00:00:00,3,14,BOB
2024-12-05 00:00:00,2,4,BOB
2024-12-06 00:00:00,2,6,BOB
2024-12-07 00:00:00,0,0,BOB
2024-12-08 00:00:00,0,0,BOB
2024-12-09 00:00:00,6,153,BOB
2024-12-10 00:00:00,3,15,BOB
2024-12-11 00:00:00,3,14,BOB
2024-12-12 00:00:00,8,75,BOB
2024-12-13 00:00:00,8,85,BOB
2024-12-14 00:00:00,0,0,BOB
2024-12-15 00:00:00,1,5,BOB
2024-12-16 00:00:00,6,21,BOB
2024-12-17 00:00:00,3,7,BOB
2024-12-18 00:00:00,1,15,BOB
2024-12-19 00:00:00,8,31,BOB
2024-12-20 00:00:00,3,13,BOB
2024-12-21 00:00:00,0,0,BOB
2024-12-22 00:00:00,0,0,BOB
2024-12-23 00:00:00,3,19,BOB
2024-12-24 00:00:00,1,3,BOB
2024-12-25 00:00:00,0,0,BOB
2024-12-26 00:00:00,0,0,BOB
2024-12-27 00:00:00,1,5,BOB
2024-12-28 00:00:00,0,0,BOB
2024-12-29 00:00:00,0,0,BOB
2024-12-30 00:00:00,4,55,BOB
2024-12-31 00:00:00,2,7,BOB
2025-01-01 00:00:00,1,1,BOB
2025-01-02 00:00:00,1,1,BOB
2025-01-03 00:00:00,0,0,BOB
2025-01-04 00:00:00,0,0,BOB
2025-01-05 00:00:00,0,0,BOB
2025-01-06 00:00:00,8,37,BOB
2025-01-07 00:00:00,10,47,BOB
2025-01-08 00:00:00,9,49,BOB
2025-01-09 00:00:00,9,50,BOB
2025-01-10 00:00:00,5,18,BOB
2025-01-11 00:00:00,0,0,BOB
2025-01-12 00:00:00,0,0,BOB
2025-01-13 00:00:00,9,37,BOB
2025-01-14 00:00:00,9,47,BOB
2025-01-15 00:00:00,7,50,BOB
2025-01-16 00:00:00,8,65,BOB
2025-01-17 00:00:00,6,52,BOB
2025-01-18 00:00:00,0,0,BOB
2025-01-19 00:00:00,0,0,BOB
2025-01-20 00:00:00,5,32,BOB
2025-01-21 00:00:00,11,63,BOB
2025-01-22 00:00:00,7,63,BOB
2025-01-23 00:00:00,9,74,BOB
2025-01-24 00:00:00,2,9,BOB
2025-01-25 00:00:00,0,0,BOB
2025-01-26 00:00:00,0,0,BOB
2025-01-27 00:00:00,3,11,BOB
2025-01-28 00:00:00,3,22,BOB
2025-01-29 00:00:00,4,26,BOB
2025-01-30 00:00:00,3,15,BOB
2025-01-31 00:00:00,2,7,BOB
2025-02-01 00:00:00,0,0,BOB
2025-02-02 00:00:00,0,0,BOB
2024-11-06 00:00:00,3,22,Frimley
2024-11-07 00:00:00,5,11,Frimley
2024-11-08 00:00:00,2,10,Frimley
2024-11-09 00:00:00,0,0,Frimley
2024-11-10 00:00:00,0,0,Frimley
2024-11-11 00:00:00,2,6,Frimley
2024-11-12 00:00:00,2,60,Frimley
2024-11-13 00:00:00,3,32,Frimley
2024-11-14 00:00:00,3,14,Frimley
2024-11-15 00:00:00,4,29,Frimley
2024-11-16 00:00:00,0,0,Frimley
2024-11-17 00:00:00,0,0,Frimley
2024-11-18 00:00:00,4,17,Frimley
2024-11-19 00:00:00,2,9,Frimley
2024-11-20 00:00:00,3,7,Frimley
2024-11-21 00:00:00,4,16,Frimley
2024-11-22 00:00:00,2,7,Frimley
2024-11-23 00:00:00,0,0,Frimley
2024-11-24 00:00:00,0,0,Frimley
2024-11-25 00:00:00,0,0,Frimley
2024-11-26 00:00:00,0,0,Frimley
2024-11-27 00:00:00,6,65,Frimley
2024-11-28 00:00:00,3,7,Frimley
2024-11-29 00:00:00,1,2,Frimley
2024-11-30 00:00:00,0,0,Frimley
2024-12-01 00:00:00,0,0,Frimley
2024-12-02 00:00:00,0,0,Frimley
2024-12-03 00:00:00,3,6,Frimley
2024-12-04 00:00:00,1,13,Frimley
2024-12-05 00:00:00,0,0,Frimley
2024-12-06 00:00:00,0,0,Frimley
2024-12-07 00:00:00,0,0,Frimley
2024-12-08 00:00:00,0,0,Frimley
2024-12-09 00:00:00,0,0,Frimley
2024-12-10 00:00:00,1,9,Frimley
2024-12-11 00:00:00,0,0,Frimley
2024-12-12 00:00:00,4,40,Frimley
2024-12-13 00:00:00,3,41,Frimley
2024-12-14 00:00:00,0,0,Frimley
2024-12-15 00:00:00,0,0,Frimley
2024-12-16 00:00:00,4,23,Frimley
2024-12-17 00:00:00,1,1,Frimley
2024-12-18 00:00:00,2,20,Frimley
2024-12-19 00:00:00,0,0,Frimley
2024-12-20 00:00:00,0,0,Frimley
2024-12-21 00:00:00,0,0,Frimley
2024-12-22 00:00:00,0,0,Frimley
2024-12-23 00:00:00,1,1,Frimley
2024-12-24 00:00:00,0,0,Frimley
2024-12-25 00:00:00,0,0,Frimley
2024-12-26 00:00:00,0,0,Frimley
2024-12-27 00:00:00,1,3,Frimley
2024-12-28 00:00:00,0,0,Frimley
2024-12-29 00:00:00,0,0,Frimley
2024-12-30 00:00:00,1,1,Frimley
2024-12-31 00:00:00,1,1,Frimley
2025-01-01 00:00:00,1,12,Frimley
2025-01-02 00:00:00,2,7,Frimley
2025-01-03 00:00:00,0,0,Frimley
2025-01-04 00:00:00,0,0,Frimley
2025-01-05 00:00:00,0,0,Frimley
2025-01-06 00:00:00,3,47,Frimley
2025-01-07 00:00:00,2,36,Frimley
2025-01-08 00:00:00,1,6,Frimley
2025-01-09 00:00:00,4,37,Frimley
2025-01-10 00:00:00,5,49,Frimley
2025-01-11 00:00:00,0,0,Frimley
2025-01-12 00:00:00,0,0,Frimley
2025-01-13 00:00:00,1,15,Frimley
2025-01-14 00:00:00,5,91,Frimley
2025-01-15 00:00:00,5,20,Frimley
2025-01-16 00:00:00,8,237,Frimley
2025-01-17 00:00:00,2,20,Frimley
2025-01-18 00:00:00,0,0,Frimley
2025-01-19 00:00:00,0,0,Frimley
2025-01-20 00:00:00,0,0,Frimley
2025-01-21 00:00:00,6,68,Frimley
2025-01-22 00:00:00,6,26,Frimley
2025-01-23 00:00:00,3,50,Frimley
2025-01-24 00:00:00,1,1,Frimley
2025-01-25 00:00:00,0,0,Frimley
2025-01-26 00:00:00,0,0,Frimley
2025-01-27 00:00:00,1,6,Frimley
2025-01-28 00:00:00,1,7,Frimley
2025-01-29 00:00:00,2,5,Frimley
2025-01-30 00:00:00,2,3,Frimley
2025-01-31 00:00:00,2,7,Frimley
2025-02-01 00:00:00,0,0,Frimley
2025-02-02 00:00:00,0,0,Frimley
2024-11-06 00:00:00,10,36,HIOW
2024-11-07 00:00:00,7,42,HIOW
2024-11-08 00:00:00,4,15,HIOW
2024-11-09 00:00:00,0,0,HIOW
2024-11-10 00:00:00,1,2,HIOW
2024-11-11 00:00:00,8,31,HIOW
2024-11-12 00:00:00,5,14,HIOW
2024-11-13 00:00:00,4,23,HIOW
2024-11-14 00:00:00,7,47,HIOW
2024-11-15 00:00:00,3,19,HIOW
2024-11-16 00:00:00,0,0,HIOW
2024-11-17 00:00:00,0,0,HIOW
2024-11-18 00:00:00,8,39,HIOW
2024-11-19 00:00:00,5,87,HIOW
2024-11-20 00:00:00,6,50,HIOW
2024-11-21 00:00:00,4,15,HIOW
2024-11-22 00:00:00,2,10,HIOW
2024-11-23 00:00:00,0,0,HIOW
2024-11-24 00:00:00,0,0,HIOW
2024-11-25 00:00:00,6,20,HIOW
2024-11-26 00:00:00,4,20,HIOW
2024-11-27 00:00:00,9,31,HIOW
2024-11-28 00:00:00,6,22,HIOW
2024-11-29 00:00:00,3,13,HIOW
2024-11-30 00:00:00,0,0,HIOW
2024-12-01 00:00:00,0,0,HIOW
2024-12-02 00:00:00,11,40,HIOW
2024-12-03 00:00:00,10,33,HIOW
2024-12-04 00:00:00,6,23,HIOW
2024-12-05 00:00:00,2,23,HIOW
2024-12-06 00:00:00,4,47,HIOW
2024-12-07 00:00:00,0,0,HIOW
2024-12-08 00:00:00,0,0,HIOW
2024-12-09 00:00:00,3,13,HIOW
2024-12-10 00:00:00,6,20,HIOW
2024-12-11 00:00:00,5,25,HIOW
2024-12-12 00:00:00,4,20,HIOW
2024-12-13 00:00:00,2,9,HIOW
2024-12-14 00:00:00,0,0,HIOW
2024-12-15 00:00:00,0,0,HIOW
2024-12-16 00:00:00,6,21,HIOW
2024-12-17 00:00:00,9,61,HIOW
2024-12-18 00:00:00,6,28,HIOW
2024-12-19 00:00:00,4,14,HIOW
2024-12-20 00:00:00,2,13,HIOW
2024-12-21 00:00:00,0,0,HIOW
2024-12-22 00:00:00,1,3,HIOW
2024-12-23 00:00:00,3,4,HIOW
2024-12-24 00:00:00,2,6,HIOW
2024-12-25 00:00:00,1,3,HIOW
2024-12-26 00:00:00,0,0,HIOW
2024-12-27 00:00:00,1,3,HIOW
2024-12-28 00:00:00,0,0,HIOW
2024-12-29 00:00:00,0,0,HIOW
2024-12-30 00:00:00,1,14,HIOW
2024-12-31 00:00:00,2,4,HIOW
2025-01-01 00:00:00,0,0,HIOW
2025-01-02 00:00:00,5,16,HIOW
2025-01-03 00:00:00,2,7,HIOW
2025-01-04 00:00:00,0,0,HIOW
2025-01-05 00:00:00,1,1,HIOW
2025-01-06 00:00:00,12,56,HIOW
2025-01-07 00:00:00,7,23,HIOW
2025-01-08 00:00:00,5,21,HIOW
2025-01-09 00:00:00,8,31,HIOW
2025-01-10 00:00:00,4,9,HIOW
2025-01-11 00:00:00,0,0,HIOW
2025-01-12 00:00:00,0,0,HIOW
2025-01-13 00:00:00,6,52,HIOW
2025-01-14 00:00:00,11,34,HIOW
2025-01-15 00:00:00,5,42,HIOW
2025-01-16 00:00:00,6,58,HIOW
2025-01-17 00:00:00,5,17,HIOW
2025-01-18 00:00:00,0,0,HIOW
2025-01-19 00:00:00,0,0,HIOW
2025-01-20 00:00:00,12,84,HIOW
2025-01-21 00:00:00,8,45,HIOW
2025-01-22 00:00:00,7,34,HIOW
2025-01-23 00:00:00,7,96,HIOW
2025-01-24 00:00:00,3,9,HIOW
2025-01-25 00:00:00,0,0,HIOW
2025-01-26 00:00:00,0,0,HIOW
2025-01-27 00:00:00,10,52,HIOW
2025-01-28 00:00:00,9,27,HIOW
2025-01-29 00:00:00,5,18,HIOW
2025-01-30 00:00:00,3,9,HIOW
2025-01-31 00:00:00,1,5,HIOW
2025-02-01 00:00:00,0,0,HIOW
2025-02-02 00:00:00,0,0,HIOW
2024-11-06 00:00:00,4,26,Somerset
2024-11-07 00:00:00,3,8,Somerset
2024-11-08 00:00:00,2,3,Somerset
2024-11-09 00:00:00,0,0,Somerset
2024-11-10 00:00:00,1,4,Somerset
2024-11-11 00:00:00,2,27,Somerset
2024-11-12 00:00:00,2,14,Somerset
2024-11-13 00:00:00,3,25,Somerset
2024-11-14 00:00:00,2,7,Somerset
2024-11-15 00:00:00,3,24,Somerset
2024-11-16 00:00:00,0,0,Somerset
2024-11-17 00:00:00,1,3,Somerset
2024-11-18 00:00:00,2,32,Somerset
2024-11-19 00:00:00,0,0,Somerset
2024-11-20 00:00:00,0,0,Somerset
2024-11-21 00:00:00,1,1,Somerset
2024-11-22 00:00:00,0,0,Somerset
2024-11-23 00:00:00,0,0,Somerset
2024-11-24 00:00:00,0,0,Somerset
2024-11-25 00:00:00,4,15,Somerset
2024-11-26 00:00:00,1,1,Somerset
2024-11-27 00:00:00,3,5,Somerset
2024-11-28 00:00:00,2,4,Somerset
2024-11-29 00:00:00,1,1,Somerset
2024-11-30 00:00:00,0,0,Somerset
2024-12-01 00:00:00,0,0,Somerset
2024-12-02 00:00:00,3,14,Somerset
2024-12-03 00:00:00,1,2,Somerset
2024-12-04 00:00:00,1,4,Somerset
2024-12-05 00:00:00,2,4,Somerset
2024-12-06 00:00:00,3,22,Somerset
2024-12-07 00:00:00,0,0,Somerset
2024-12-08 00:00:00,0,0,Somerset
2024-12-09 00:00:00,1,4,Somerset
2024-12-10 00:00:00,3,36,Somerset
2024-12-11 00:00:00,1,1,Somerset
2024-12-12 00:00:00,2,9,Somerset
2024-12-13 00:00:00,2,4,Somerset
2024-12-14 00:00:00,0,0,Somerset
2024-12-15 00:00:00,0,0,Somerset
2024-12-16 00:00:00,1,7,Somerset
2024-12-17 00:00:00,3,7,Somerset
2024-12-18 00:00:00,2,6,Somerset
2024-12-19 00:00:00,0,0,Somerset
2024-12-20 00:00:00,3,5,Somerset
2024-12-21 00:00:00,0,0,Somerset
2024-12-22 00:00:00,0,0,Somerset
2024-12-23 00:00:00,3,14,Somerset
2024-12-24 00:00:00,2,6,Somerset
2024-12-25 00:00:00,0,0,Somerset
2024-12-26 00:00:00,0,0,Somerset
2024-12-27 00:00:00,0,0,Somerset
2024-12-28 00:00:00,0,0,Somerset
2024-12-29 00:00:00,0,0,Somerset
2024-12-30 00:00:00,2,4,Somerset
2024-12-31 00:00:00,1,4,Somerset
2025-01-01 00:00:00,0,0,Somerset
2025-01-02 00:00:00,1,1,Somerset
2025-01-03 00:00:00,0,0,Somerset
2025-01-04 00:00:00,0,0,Somerset
2025-01-05 00:00:00,0,0,Somerset
2025-01-06 00:00:00,3,29,Somerset
2025-01-07 00:00:00,3,13,Somerset
2025-01-08 00:00:00,2,16,Somerset
2025-01-09 00:00:00,7,68,Somerset
2025-01-10 00:00:00,1,1,Somerset
2025-01-11 00:00:00,0,0,Somerset
2025-01-12 00:00:00,0,0,Somerset
2025-01-13 00:00:00,4,19,Somerset
2025-01-14 00:00:00,1,3,Somerset
2025-01-15 00:00:00,1,35,Somerset
2025-01-16 00:00:00,4,40,Somerset
2025-01-17 00:00:00,4,23,Somerset
2025-01-18 00:00:00,0,0,Somerset
2025-01-19 00:00:00,0,0,Somerset
2025-01-20 00:00:00,3,18,Somerset
2025-01-21 00:00:00,2,4,Somerset
2025-01-22 00:00:00,3,8,Somerset
2025-01-23 00:00:00,4,30,Somerset
2025-01-24 00:00:00,2,3,Somerset
2025-01-25 00:00:00,0,0,Somerset
2025-01-26 00:00:00,0,0,Somerset
2025-01-27 00:00:00,4,11,Somerset
2025-01-28 00:00:00,3,5,Somerset
2025-01-29 00:00:00,2,5,Somerset
2025-01-30 00:00:00,4,17,Somerset
2025-01-31 00:00:00,0,0,Somerset
2025-02-01 00:00:00,0,0,Somerset
2025-02-02 00:00:00,0,0,Somerset
2024-11-06 00:00:00,2,10,Sussex
2024-11-07 00:00:00,2,6,Sussex
2024-11-08 00:00:00,1,13,Sussex
2024-11-09 00:00:00,0,0,Sussex
2024-11-10 00:00:00,0,0,Sussex
2024-11-11 00:00:00,0,0,Sussex
2024-11-12 00:00:00,1,4,Sussex
2024-11-13 00:00:00,0,0,Sussex
2024-11-14 00:00:00,1,3,Sussex
2024-11-15 00:00:00,0,0,Sussex
2024-11-16 00:00:00,0,0,Sussex
2024-11-17 00:00:00,0,0,Sussex
2024-11-18 00:00:00,2,2,Sussex
2024-11-19 00:00:00,0,0,Sussex
2024-11-20 00:00:00,1,6,Sussex
2024-11-21 00:00:00,1,1,Sussex
2024-11-22 00:00:00,0,0,Sussex
2024-11-23 00:00:00,0,0,Sussex
2024-11-24 00:00:00,0,0,Sussex
2024-11-25 00:00:00,1,7,Sussex
2024-11-26 00:00:00,1,4,Sussex
2024-11-27 00:00:00,3,10,Sussex
2024-11-28 00:00:00,1,1,Sussex
2024-11-29 00:00:00,2,7,Sussex
2024-11-30 00:00:00,0,0,Sussex
2024-12-01 00:00:00,0,0,Sussex
2024-12-02 00:00:00,2,7,Sussex
2024-12-03 00:00:00,2,7,Sussex
2024-12-04 00:00:00,2,12,Sussex
2024-12-05 00:00:00,1,7,Sussex
2024-12-06 00:00:00,0,0,Sussex
2024-12-07 00:00:00,0,0,Sussex
2024-12-08 00:00:00,0,0,Sussex
2024-12-09 00:00:00,0,0,Sussex
2024-12-10 00:00:00,0,0,Sussex
2024-12-11 00:00:00,0,0,Sussex
2024-12-12 00:00:00,1,4,Sussex
2024-12-13 00:00:00,0,0,Sussex
2024-12-14 00:00:00,0,0,Sussex
2024-12-15 00:00:00,0,0,Sussex
2024-12-16 00:00:00,2,5,Sussex
2024-12-17 00:00:00,1,1,Sussex
2024-12-18 00:00:00,0,0,Sussex
2024-12-19 00:00:00,0,0,Sussex
2024-12-20 00:00:00,0,0,Sussex
2024-12-21 00:00:00,0,0,Sussex
2024-12-22 00:00:00,0,0,Sussex
2024-12-23 00:00:00,3,11,Sussex
2024-12-24 00:00:00,0,0,Sussex
2024-12-25 00:00:00,0,0,Sussex
2024-12-26 00:00:00,0,0,Sussex
2024-12-27 00:00:00,1,5,Sussex
2024-12-28 00:00:00,0,0,Sussex
2024-12-29 00:00:00,0,0,Sussex
2024-12-30 00:00:00,1,1,Sussex
2024-12-31 00:00:00,1,7,Sussex
2025-01-01 00:00:00,0,0,Sussex
2025-01-02 00:00:00,1,1,Sussex
2025-01-03 00:00:00,0,0,Sussex
2025-01-04 00:00:00,0,0,Sussex
2025-01-05 00:00:00,0,0,Sussex
2025-01-06 00:00:00,2,5,Sussex
2025-01-07 00:00:00,1,3,Sussex
2025-01-08 00:00:00,1,3,Sussex
2025-01-09 00:00:00,0,0,Sussex
2025-01-10 00:00:00,0,0,Sussex
2025-01-11 00:00:00,0,0,Sussex
2025-01-12 00:00:00,0,0,Sussex
2025-01-13 00:00:00,0,0,Sussex
2025-01-14 00:00:00,2,3,Sussex
2025-01-15 00:00:00,0,0,Sussex
2025-01-16 00:00:00,2,20,Sussex
2025-01-17 00:00:00,2,36,Sussex
2025-01-18 00:00:00,0,0,Sussex
2025-01-19 00:00:00,0,0,Sussex
2025-01-20 00:00:00,1,6,Sussex
2025-01-21 00:00:00,2,2,Sussex
2025-01-22 00:00:00,2,9,Sussex
2025-01-23 00:00:00,2,13,Sussex
2025-01-24 00:00:00,2,8,Sussex
2025-01-25 00:00:00,0,0,Sussex
2025-01-26 00:00:00,0,0,Sussex
2025-01-27 00:00:00,1,4,Sussex
2025-01-28 00:00:00,0,0,Sussex
2025-01-29 00:00:00,3,14,Sussex
2025-01-30 00:00:00,1,4,Sussex
2025-01-31 00:00:00,0,0,Sussex
2025-02-01 00:00:00,0,0,Sussex
2025-02-02 00:00:00,0,0,Sussex
