Hour,7 days average unique viewers,30 days average unique viewers,90 days average unique viewers,ICB
Sunday 12 AM - 1 AM,0,0,0,BOB
Sunday 1 AM - 2 AM,0,0,0,BOB
Sunday 2 AM - 3 AM,0,0,0,BOB
Sunday 3 AM - 4 AM,0,0,0,BOB
Sunday 4 AM - 5 AM,0,0,0,BOB
Sunday 5 AM - 6 AM,0,0,0,BOB
Sunday 6 AM - 7 AM,0,0,0,BOB
Sunday 7 AM - 8 AM,0,0,0,BOB
Sunday 8 AM - 9 AM,0,0,0,BOB
Sunday 9 AM - 10 AM,0,0,0,BOB
Sunday 10 AM - 11 AM,0,0,0,BOB
Sunday 11 AM - 12 PM,0,0,0,BOB
Sunday 12 PM - 1 PM,0,0,0,BOB
Sunday 1 PM - 2 PM,0,0,0,BOB
Sunday 2 PM - 3 PM,0,0,0,BOB
Sunday 3 PM - 4 PM,0,0,0,BOB
Sunday 4 PM - 5 PM,0,0,0,BOB
Sunday 5 PM - 6 PM,0,0,0,BOB
Sunday 6 PM - 7 PM,0,0,0,BOB
Sunday 7 PM - 8 PM,0,0,0,BOB
Sunday 8 PM - 9 PM,0,0,0,BOB
Sunday 9 PM - 10 PM,0,0,0,BOB
Sunday 10 PM - 11 PM,0,0,0,BOB
Sunday 11 PM - 12 AM,0,0,0,BOB
Monday 12 AM - 1 AM,0,0,0,BOB
Monday 1 AM - 2 AM,0,0,0,BOB
Monday 2 AM - 3 AM,0,0,0,BOB
Monday 3 AM - 4 AM,0,0,0,BOB
Monday 4 AM - 5 AM,0,0,0,BOB
Monday 5 AM - 6 AM,0,0,0,BOB
Monday 6 AM - 7 AM,0,0,0,BOB
Monday 7 AM - 8 AM,0,0,0,BOB
Monday 8 AM - 9 AM,1,0,0,BOB
Monday 9 AM - 10 AM,1,1,1,BOB
Monday 10 AM - 11 AM,0,1,1,BOB
Monday 11 AM - 12 PM,0,1,1,BOB
Monday 12 PM - 1 PM,0,1,1,BOB
Monday 1 PM - 2 PM,2,3,1,BOB
Monday 2 PM - 3 PM,3,1,1,BOB
Monday 3 PM - 4 PM,1,1,1,BOB
Monday 4 PM - 5 PM,0,1,0,BOB
Monday 5 PM - 6 PM,0,0,0,BOB
Monday 6 PM - 7 PM,0,0,0,BOB
Monday 7 PM - 8 PM,0,0,0,BOB
Monday 8 PM - 9 PM,0,0,0,BOB
Monday 9 PM - 10 PM,0,0,0,BOB
Monday 10 PM - 11 PM,0,0,0,BOB
Monday 11 PM - 12 AM,0,0,0,BOB
Tuesday 12 AM - 1 AM,0,0,0,BOB
Tuesday 1 AM - 2 AM,0,0,0,BOB
Tuesday 2 AM - 3 AM,0,0,0,BOB
Tuesday 3 AM - 4 AM,0,0,0,BOB
Tuesday 4 AM - 5 AM,0,0,0,BOB
Tuesday 5 AM - 6 AM,0,0,0,BOB
Tuesday 6 AM - 7 AM,0,0,0,BOB
Tuesday 7 AM - 8 AM,0,0,0,BOB
Tuesday 8 AM - 9 AM,1,0,0,BOB
Tuesday 9 AM - 10 AM,0,0,0,BOB
Tuesday 10 AM - 11 AM,0,0,1,BOB
Tuesday 11 AM - 12 PM,1,0,1,BOB
Tuesday 12 PM - 1 PM,0,0,0,BOB
Tuesday 1 PM - 2 PM,0,1,1,BOB
Tuesday 2 PM - 3 PM,1,1,1,BOB
Tuesday 3 PM - 4 PM,0,0,1,BOB
Tuesday 4 PM - 5 PM,0,0,0,BOB
Tuesday 5 PM - 6 PM,0,0,0,BOB
Tuesday 6 PM - 7 PM,0,0,0,BOB
Tuesday 7 PM - 8 PM,0,0,0,BOB
Tuesday 8 PM - 9 PM,0,0,0,BOB
Tuesday 9 PM - 10 PM,0,0,0,BOB
Tuesday 10 PM - 11 PM,0,0,0,BOB
Tuesday 11 PM - 12 AM,0,0,0,BOB
Wednesday 12 AM - 1 AM,0,0,0,BOB
Wednesday 1 AM - 2 AM,0,0,0,BOB
Wednesday 2 AM - 3 AM,0,0,0,BOB
Wednesday 3 AM - 4 AM,0,0,0,BOB
Wednesday 4 AM - 5 AM,0,0,0,BOB
Wednesday 5 AM - 6 AM,0,0,0,BOB
Wednesday 6 AM - 7 AM,0,0,0,BOB
Wednesday 7 AM - 8 AM,0,0,0,BOB
Wednesday 8 AM - 9 AM,0,0,0,BOB
Wednesday 9 AM - 10 AM,0,0,0,BOB
Wednesday 10 AM - 11 AM,0,0,1,BOB
Wednesday 11 AM - 12 PM,1,1,1,BOB
Wednesday 12 PM - 1 PM,0,1,1,BOB
Wednesday 1 PM - 2 PM,0,0,1,BOB
Wednesday 2 PM - 3 PM,0,0,0,BOB
Wednesday 3 PM - 4 PM,0,1,1,BOB
Wednesday 4 PM - 5 PM,0,0,0,BOB
Wednesday 5 PM - 6 PM,0,0,0,BOB
Wednesday 6 PM - 7 PM,0,0,0,BOB
Wednesday 7 PM - 8 PM,0,0,0,BOB
Wednesday 8 PM - 9 PM,0,0,0,BOB
Wednesday 9 PM - 10 PM,0,0,0,BOB
Wednesday 10 PM - 11 PM,0,0,0,BOB
Wednesday 11 PM - 12 AM,0,0,0,BOB
Thursday 12 AM - 1 AM,0,0,0,BOB
Thursday 1 AM - 2 AM,0,0,0,BOB
Thursday 2 AM - 3 AM,0,0,0,BOB
Thursday 3 AM - 4 AM,0,0,0,BOB
Thursday 4 AM - 5 AM,0,0,0,BOB
Thursday 5 AM - 6 AM,0,0,0,BOB
Thursday 6 AM - 7 AM,0,0,0,BOB
Thursday 7 AM - 8 AM,0,0,0,BOB
Thursday 8 AM - 9 AM,0,0,0,BOB
Thursday 9 AM - 10 AM,1,1,1,BOB
Thursday 10 AM - 11 AM,0,1,1,BOB
Thursday 11 AM - 12 PM,0,0,1,BOB
Thursday 12 PM - 1 PM,0,0,0,BOB
Thursday 1 PM - 2 PM,0,1,1,BOB
Thursday 2 PM - 3 PM,0,1,1,BOB
Thursday 3 PM - 4 PM,0,2,1,BOB
Thursday 4 PM - 5 PM,0,1,0,BOB
Thursday 5 PM - 6 PM,0,0,0,BOB
Thursday 6 PM - 7 PM,0,0,0,BOB
Thursday 7 PM - 8 PM,0,0,0,BOB
Thursday 8 PM - 9 PM,0,0,0,BOB
Thursday 9 PM - 10 PM,0,0,0,BOB
Thursday 10 PM - 11 PM,0,0,0,BOB
Thursday 11 PM - 12 AM,0,0,0,BOB
Friday 12 AM - 1 AM,0,0,0,BOB
Friday 1 AM - 2 AM,0,0,0,BOB
Friday 2 AM - 3 AM,0,0,0,BOB
Friday 3 AM - 4 AM,0,0,0,BOB
Friday 4 AM - 5 AM,0,0,0,BOB
Friday 5 AM - 6 AM,0,0,0,BOB
Friday 6 AM - 7 AM,0,0,0,BOB
Friday 7 AM - 8 AM,0,0,0,BOB
Friday 8 AM - 9 AM,0,0,0,BOB
Friday 9 AM - 10 AM,0,1,1,BOB
Friday 10 AM - 11 AM,0,1,0,BOB
Friday 11 AM - 12 PM,0,0,1,BOB
Friday 12 PM - 1 PM,0,1,0,BOB
Friday 1 PM - 2 PM,0,1,1,BOB
Friday 2 PM - 3 PM,0,0,0,BOB
Friday 3 PM - 4 PM,0,0,0,BOB
Friday 4 PM - 5 PM,0,1,1,BOB
Friday 5 PM - 6 PM,0,1,0,BOB
Friday 6 PM - 7 PM,0,0,0,BOB
Friday 7 PM - 8 PM,0,0,0,BOB
Friday 8 PM - 9 PM,0,0,0,BOB
Friday 9 PM - 10 PM,0,0,0,BOB
Friday 10 PM - 11 PM,0,0,0,BOB
Friday 11 PM - 12 AM,0,0,0,BOB
Saturday 12 AM - 1 AM,0,0,0,BOB
Saturday 1 AM - 2 AM,0,0,0,BOB
Saturday 2 AM - 3 AM,0,0,0,BOB
Saturday 3 AM - 4 AM,0,0,0,BOB
Saturday 4 AM - 5 AM,0,0,0,BOB
Saturday 5 AM - 6 AM,0,0,0,BOB
Saturday 6 AM - 7 AM,0,0,0,BOB
Saturday 7 AM - 8 AM,0,0,0,BOB
Saturday 8 AM - 9 AM,0,0,0,BOB
Saturday 9 AM - 10 AM,0,0,0,BOB
Saturday 10 AM - 11 AM,0,0,0,BOB
Saturday 11 AM - 12 PM,0,0,0,BOB
Saturday 12 PM - 1 PM,0,0,0,BOB
Saturday 1 PM - 2 PM,0,0,0,BOB
Saturday 2 PM - 3 PM,0,0,0,BOB
Saturday 3 PM - 4 PM,0,0,0,BOB
Saturday 4 PM - 5 PM,0,0,0,BOB
Saturday 5 PM - 6 PM,0,0,0,BOB
Saturday 6 PM - 7 PM,0,0,0,BOB
Saturday 7 PM - 8 PM,0,0,0,BOB
Saturday 8 PM - 9 PM,0,0,0,BOB
Saturday 9 PM - 10 PM,0,0,0,BOB
Saturday 10 PM - 11 PM,0,0,0,BOB
Saturday 11 PM - 12 AM,0,0,0,BOB
Sunday 12 AM - 1 AM,0,0,0,Frimley
Sunday 1 AM - 2 AM,0,0,0,Frimley
Sunday 2 AM - 3 AM,0,0,0,Frimley
Sunday 3 AM - 4 AM,0,0,0,Frimley
Sunday 4 AM - 5 AM,0,0,0,Frimley
Sunday 5 AM - 6 AM,0,0,0,Frimley
Sunday 6 AM - 7 AM,0,0,0,Frimley
Sunday 7 AM - 8 AM,0,0,0,Frimley
Sunday 8 AM - 9 AM,0,0,0,Frimley
Sunday 9 AM - 10 AM,0,0,0,Frimley
Sunday 10 AM - 11 AM,0,0,0,Frimley
Sunday 11 AM - 12 PM,0,0,0,Frimley
Sunday 12 PM - 1 PM,0,0,0,Frimley
Sunday 1 PM - 2 PM,0,0,0,Frimley
Sunday 2 PM - 3 PM,0,0,0,Frimley
Sunday 3 PM - 4 PM,0,0,0,Frimley
Sunday 4 PM - 5 PM,0,0,0,Frimley
Sunday 5 PM - 6 PM,0,0,0,Frimley
Sunday 6 PM - 7 PM,0,0,0,Frimley
Sunday 7 PM - 8 PM,0,0,0,Frimley
Sunday 8 PM - 9 PM,0,0,0,Frimley
Sunday 9 PM - 10 PM,0,0,0,Frimley
Sunday 10 PM - 11 PM,0,0,0,Frimley
Sunday 11 PM - 12 AM,0,0,0,Frimley
Monday 12 AM - 1 AM,0,0,0,Frimley
Monday 1 AM - 2 AM,0,0,0,Frimley
Monday 2 AM - 3 AM,0,0,0,Frimley
Monday 3 AM - 4 AM,0,0,0,Frimley
Monday 4 AM - 5 AM,0,0,0,Frimley
Monday 5 AM - 6 AM,0,0,0,Frimley
Monday 6 AM - 7 AM,0,0,0,Frimley
Monday 7 AM - 8 AM,0,0,0,Frimley
Monday 8 AM - 9 AM,1,0,0,Frimley
Monday 9 AM - 10 AM,1,0,0,Frimley
Monday 10 AM - 11 AM,0,0,0,Frimley
Monday 11 AM - 12 PM,0,0,0,Frimley
Monday 12 PM - 1 PM,0,0,0,Frimley
Monday 1 PM - 2 PM,0,0,1,Frimley
Monday 2 PM - 3 PM,0,1,0,Frimley
Monday 3 PM - 4 PM,0,1,0,Frimley
Monday 4 PM - 5 PM,0,0,0,Frimley
Monday 5 PM - 6 PM,0,0,0,Frimley
Monday 6 PM - 7 PM,0,0,0,Frimley
Monday 7 PM - 8 PM,0,0,0,Frimley
Monday 8 PM - 9 PM,0,0,0,Frimley
Monday 9 PM - 10 PM,0,0,0,Frimley
Monday 10 PM - 11 PM,0,0,0,Frimley
Monday 11 PM - 12 AM,0,0,0,Frimley
Tuesday 12 AM - 1 AM,0,0,0,Frimley
Tuesday 1 AM - 2 AM,0,0,0,Frimley
Tuesday 2 AM - 3 AM,0,0,0,Frimley
Tuesday 3 AM - 4 AM,0,0,0,Frimley
Tuesday 4 AM - 5 AM,0,0,0,Frimley
Tuesday 5 AM - 6 AM,0,0,0,Frimley
Tuesday 6 AM - 7 AM,0,0,0,Frimley
Tuesday 7 AM - 8 AM,0,0,0,Frimley
Tuesday 8 AM - 9 AM,0,0,0,Frimley
Tuesday 9 AM - 10 AM,0,0,0,Frimley
Tuesday 10 AM - 11 AM,0,0,0,Frimley
Tuesday 11 AM - 12 PM,0,0,0,Frimley
Tuesday 12 PM - 1 PM,0,0,0,Frimley
Tuesday 1 PM - 2 PM,0,0,0,Frimley
Tuesday 2 PM - 3 PM,1,1,0,Frimley
Tuesday 3 PM - 4 PM,0,0,0,Frimley
Tuesday 4 PM - 5 PM,0,0,0,Frimley
Tuesday 5 PM - 6 PM,0,0,0,Frimley
Tuesday 6 PM - 7 PM,0,0,0,Frimley
Tuesday 7 PM - 8 PM,0,0,0,Frimley
Tuesday 8 PM - 9 PM,0,0,0,Frimley
Tuesday 9 PM - 10 PM,0,0,0,Frimley
Tuesday 10 PM - 11 PM,0,0,0,Frimley
Tuesday 11 PM - 12 AM,0,0,0,Frimley
Wednesday 12 AM - 1 AM,0,0,0,Frimley
Wednesday 1 AM - 2 AM,0,0,0,Frimley
Wednesday 2 AM - 3 AM,0,0,0,Frimley
Wednesday 3 AM - 4 AM,0,0,0,Frimley
Wednesday 4 AM - 5 AM,0,0,0,Frimley
Wednesday 5 AM - 6 AM,0,0,0,Frimley
Wednesday 6 AM - 7 AM,0,0,0,Frimley
Wednesday 7 AM - 8 AM,0,0,0,Frimley
Wednesday 8 AM - 9 AM,0,0,0,Frimley
Wednesday 9 AM - 10 AM,0,0,0,Frimley
Wednesday 10 AM - 11 AM,0,0,1,Frimley
Wednesday 11 AM - 12 PM,1,0,0,Frimley
Wednesday 12 PM - 1 PM,1,1,0,Frimley
Wednesday 1 PM - 2 PM,0,0,0,Frimley
Wednesday 2 PM - 3 PM,0,0,0,Frimley
Wednesday 3 PM - 4 PM,0,0,0,Frimley
Wednesday 4 PM - 5 PM,0,0,0,Frimley
Wednesday 5 PM - 6 PM,0,0,0,Frimley
Wednesday 6 PM - 7 PM,0,0,0,Frimley
Wednesday 7 PM - 8 PM,0,0,0,Frimley
Wednesday 8 PM - 9 PM,0,0,0,Frimley
Wednesday 9 PM - 10 PM,0,0,0,Frimley
Wednesday 10 PM - 11 PM,0,0,0,Frimley
Wednesday 11 PM - 12 AM,0,0,0,Frimley
Thursday 12 AM - 1 AM,0,0,0,Frimley
Thursday 1 AM - 2 AM,0,0,0,Frimley
Thursday 2 AM - 3 AM,0,0,0,Frimley
Thursday 3 AM - 4 AM,0,0,0,Frimley
Thursday 4 AM - 5 AM,0,0,0,Frimley
Thursday 5 AM - 6 AM,0,0,0,Frimley
Thursday 6 AM - 7 AM,0,0,0,Frimley
Thursday 7 AM - 8 AM,0,0,0,Frimley
Thursday 8 AM - 9 AM,0,0,0,Frimley
Thursday 9 AM - 10 AM,2,1,0,Frimley
Thursday 10 AM - 11 AM,0,0,1,Frimley
Thursday 11 AM - 12 PM,0,0,1,Frimley
Thursday 12 PM - 1 PM,0,1,1,Frimley
Thursday 1 PM - 2 PM,0,1,0,Frimley
Thursday 2 PM - 3 PM,0,0,0,Frimley
Thursday 3 PM - 4 PM,0,0,0,Frimley
Thursday 4 PM - 5 PM,0,0,0,Frimley
Thursday 5 PM - 6 PM,0,0,0,Frimley
Thursday 6 PM - 7 PM,0,0,0,Frimley
Thursday 7 PM - 8 PM,0,0,0,Frimley
Thursday 8 PM - 9 PM,0,0,0,Frimley
Thursday 9 PM - 10 PM,0,0,0,Frimley
Thursday 10 PM - 11 PM,0,0,0,Frimley
Thursday 11 PM - 12 AM,0,0,0,Frimley
Friday 12 AM - 1 AM,0,0,0,Frimley
Friday 1 AM - 2 AM,0,0,0,Frimley
Friday 2 AM - 3 AM,0,0,0,Frimley
Friday 3 AM - 4 AM,0,0,0,Frimley
Friday 4 AM - 5 AM,0,0,0,Frimley
Friday 5 AM - 6 AM,0,0,0,Frimley
Friday 6 AM - 7 AM,0,0,0,Frimley
Friday 7 AM - 8 AM,0,0,0,Frimley
Friday 8 AM - 9 AM,0,0,0,Frimley
Friday 9 AM - 10 AM,0,0,0,Frimley
Friday 10 AM - 11 AM,0,0,0,Frimley
Friday 11 AM - 12 PM,0,0,0,Frimley
Friday 12 PM - 1 PM,0,0,0,Frimley
Friday 1 PM - 2 PM,0,0,0,Frimley
Friday 2 PM - 3 PM,0,0,0,Frimley
Friday 3 PM - 4 PM,0,1,0,Frimley
Friday 4 PM - 5 PM,0,0,0,Frimley
Friday 5 PM - 6 PM,0,0,0,Frimley
Friday 6 PM - 7 PM,0,0,0,Frimley
Friday 7 PM - 8 PM,0,0,0,Frimley
Friday 8 PM - 9 PM,0,0,0,Frimley
Friday 9 PM - 10 PM,0,0,0,Frimley
Friday 10 PM - 11 PM,0,0,0,Frimley
Friday 11 PM - 12 AM,0,0,0,Frimley
Saturday 12 AM - 1 AM,0,0,0,Frimley
Saturday 1 AM - 2 AM,0,0,0,Frimley
Saturday 2 AM - 3 AM,0,0,0,Frimley
Saturday 3 AM - 4 AM,0,0,0,Frimley
Saturday 4 AM - 5 AM,0,0,0,Frimley
Saturday 5 AM - 6 AM,0,0,0,Frimley
Saturday 6 AM - 7 AM,0,0,0,Frimley
Saturday 7 AM - 8 AM,0,0,0,Frimley
Saturday 8 AM - 9 AM,0,0,0,Frimley
Saturday 9 AM - 10 AM,0,0,0,Frimley
Saturday 10 AM - 11 AM,0,0,0,Frimley
Saturday 11 AM - 12 PM,0,0,0,Frimley
Saturday 12 PM - 1 PM,0,0,0,Frimley
Saturday 1 PM - 2 PM,0,0,0,Frimley
Saturday 2 PM - 3 PM,0,0,0,Frimley
Saturday 3 PM - 4 PM,0,0,0,Frimley
Saturday 4 PM - 5 PM,0,0,0,Frimley
Saturday 5 PM - 6 PM,0,0,0,Frimley
Saturday 6 PM - 7 PM,0,0,0,Frimley
Saturday 7 PM - 8 PM,0,0,0,Frimley
Saturday 8 PM - 9 PM,0,0,0,Frimley
Saturday 9 PM - 10 PM,0,0,0,Frimley
Saturday 10 PM - 11 PM,0,0,0,Frimley
Saturday 11 PM - 12 AM,0,0,0,Frimley
Sunday 12 AM - 1 AM,0,0,0,HIOW
Sunday 1 AM - 2 AM,0,0,0,HIOW
Sunday 2 AM - 3 AM,0,0,0,HIOW
Sunday 3 AM - 4 AM,0,0,0,HIOW
Sunday 4 AM - 5 AM,0,0,0,HIOW
Sunday 5 AM - 6 AM,0,0,0,HIOW
Sunday 6 AM - 7 AM,0,0,0,HIOW
Sunday 7 AM - 8 AM,0,0,0,HIOW
Sunday 8 AM - 9 AM,0,0,0,HIOW
Sunday 9 AM - 10 AM,0,0,0,HIOW
Sunday 10 AM - 11 AM,0,0,0,HIOW
Sunday 11 AM - 12 PM,0,0,0,HIOW
Sunday 12 PM - 1 PM,0,0,0,HIOW
Sunday 1 PM - 2 PM,0,0,0,HIOW
Sunday 2 PM - 3 PM,0,0,0,HIOW
Sunday 3 PM - 4 PM,0,0,0,HIOW
Sunday 4 PM - 5 PM,0,0,0,HIOW
Sunday 5 PM - 6 PM,0,0,0,HIOW
Sunday 6 PM - 7 PM,1,0,0,HIOW
Sunday 7 PM - 8 PM,0,0,0,HIOW
Sunday 8 PM - 9 PM,0,0,0,HIOW
Sunday 9 PM - 10 PM,0,0,0,HIOW
Sunday 10 PM - 11 PM,0,0,0,HIOW
Sunday 11 PM - 12 AM,0,0,0,HIOW
Monday 12 AM - 1 AM,0,0,0,HIOW
Monday 1 AM - 2 AM,0,0,0,HIOW
Monday 2 AM - 3 AM,0,0,0,HIOW
Monday 3 AM - 4 AM,0,0,0,HIOW
Monday 4 AM - 5 AM,0,0,0,HIOW
Monday 5 AM - 6 AM,0,0,0,HIOW
Monday 6 AM - 7 AM,0,0,0,HIOW
Monday 7 AM - 8 AM,1,0,0,HIOW
Monday 8 AM - 9 AM,1,1,0,HIOW
Monday 9 AM - 10 AM,1,0,1,HIOW
Monday 10 AM - 11 AM,1,1,1,HIOW
Monday 11 AM - 12 PM,0,1,1,HIOW
Monday 12 PM - 1 PM,0,1,1,HIOW
Monday 1 PM - 2 PM,0,0,1,HIOW
Monday 2 PM - 3 PM,0,1,1,HIOW
Monday 3 PM - 4 PM,0,0,0,HIOW
Monday 4 PM - 5 PM,0,1,1,HIOW
Monday 5 PM - 6 PM,0,0,0,HIOW
Monday 6 PM - 7 PM,0,0,0,HIOW
Monday 7 PM - 8 PM,0,0,0,HIOW
Monday 8 PM - 9 PM,0,0,0,HIOW
Monday 9 PM - 10 PM,0,0,0,HIOW
Monday 10 PM - 11 PM,0,0,0,HIOW
Monday 11 PM - 12 AM,0,0,0,HIOW
Tuesday 12 AM - 1 AM,0,0,0,HIOW
Tuesday 1 AM - 2 AM,0,0,0,HIOW
Tuesday 2 AM - 3 AM,0,0,0,HIOW
Tuesday 3 AM - 4 AM,0,0,0,HIOW
Tuesday 4 AM - 5 AM,0,0,0,HIOW
Tuesday 5 AM - 6 AM,0,0,0,HIOW
Tuesday 6 AM - 7 AM,0,0,0,HIOW
Tuesday 7 AM - 8 AM,0,0,0,HIOW
Tuesday 8 AM - 9 AM,0,0,0,HIOW
Tuesday 9 AM - 10 AM,1,1,1,HIOW
Tuesday 10 AM - 11 AM,0,1,1,HIOW
Tuesday 11 AM - 12 PM,0,1,1,HIOW
Tuesday 12 PM - 1 PM,0,0,0,HIOW
Tuesday 1 PM - 2 PM,0,0,1,HIOW
Tuesday 2 PM - 3 PM,1,2,2,HIOW
Tuesday 3 PM - 4 PM,0,0,1,HIOW
Tuesday 4 PM - 5 PM,0,1,1,HIOW
Tuesday 5 PM - 6 PM,0,0,0,HIOW
Tuesday 6 PM - 7 PM,0,0,0,HIOW
Tuesday 7 PM - 8 PM,0,0,0,HIOW
Tuesday 8 PM - 9 PM,0,0,0,HIOW
Tuesday 9 PM - 10 PM,0,0,0,HIOW
Tuesday 10 PM - 11 PM,0,0,0,HIOW
Tuesday 11 PM - 12 AM,0,0,0,HIOW
Wednesday 12 AM - 1 AM,0,0,0,HIOW
Wednesday 1 AM - 2 AM,0,0,0,HIOW
Wednesday 2 AM - 3 AM,0,0,0,HIOW
Wednesday 3 AM - 4 AM,0,0,0,HIOW
Wednesday 4 AM - 5 AM,0,0,0,HIOW
Wednesday 5 AM - 6 AM,0,0,0,HIOW
Wednesday 6 AM - 7 AM,0,0,0,HIOW
Wednesday 7 AM - 8 AM,0,0,0,HIOW
Wednesday 8 AM - 9 AM,0,0,1,HIOW
Wednesday 9 AM - 10 AM,0,1,1,HIOW
Wednesday 10 AM - 11 AM,0,1,1,HIOW
Wednesday 11 AM - 12 PM,0,0,1,HIOW
Wednesday 12 PM - 1 PM,0,1,1,HIOW
Wednesday 1 PM - 2 PM,0,1,1,HIOW
Wednesday 2 PM - 3 PM,0,1,1,HIOW
Wednesday 3 PM - 4 PM,0,0,1,HIOW
Wednesday 4 PM - 5 PM,0,0,0,HIOW
Wednesday 5 PM - 6 PM,0,0,0,HIOW
Wednesday 6 PM - 7 PM,0,0,0,HIOW
Wednesday 7 PM - 8 PM,0,0,0,HIOW
Wednesday 8 PM - 9 PM,0,0,0,HIOW
